UMAP1,UMAP2
-3.5388863,2.8735023
11.458094,10.135757
-3.8782742,3.3024344
-2.9810297,2.0501974
-3.0612626,3.6325471
5.721232,1.8960158
-3.2539203,3.4403489
1.4803109,5.0355906
-1.85347,6.9743524
7.691208,-2.2782624
4.8625665,1.3546408
5.4693832,1.3487031
10.051954,9.081991
7.552776,0.022382217
-2.604286,7.7024913
-3.2325323,2.2967713
7.666673,0.30737868
7.641661,1.6136007
12.917343,7.5536456
0.5627166,4.289408
1.2126143,8.520439
-2.0409982,7.4717503
4.9940357,2.091817
11.084712,9.858421
-1.7702982,7.963537
9.8606615,9.753301
11.304743,10.4953985
12.900119,7.6105733
0.53584135,3.49042
1.6916965,5.9697313
2.572336,8.866234
12.20034,10.295322
-3.1223915,3.791852
10.785867,10.962792
6.60043,-2.6635664
1.3556575,7.5781875
1.2200392,4.8009124
2.1977782,3.5385678
12.088819,9.976911
10.060721,9.872479
4.8535247,1.233097
6.8440757,-2.97691
-0.75684637,6.3989987
10.206101,10.136868
10.417465,8.784088
-1.8673611,3.0764897
10.536599,11.015485
5.4361672,1.227129
-3.8402944,3.449322
1.1157894,8.291669
-2.0109837,3.6955924
5.528047,1.606933
9.743394,9.701085
7.6636534,1.6296784
10.230539,10.248066
4.828,1.2646976
2.7051203,8.291706
-2.297354,3.6581185
7.001488,-0.01984305
4.5677886,1.4038298
7.6512065,-2.145206
6.8973002,-2.2300072
12.711096,7.823589
7.832666,0.983689
0.7744618,3.6690214
7.657833,1.624815
-2.370869,2.532175
-2.101097,6.9531035
12.5327635,7.9133506
-2.1690376,2.2437541
6.9370484,0.22637017
7.761594,1.0794913
0.58981305,6.005537
1.3842812,4.32191
-0.89778155,6.535777
4.6036096,1.327729
10.356187,11.078336
1.0723959,6.6558905
11.624082,10.932768
11.82598,7.537893
0.9607141,4.7491493
9.633091,9.083373
-2.6345625,3.3791492
-1.6479611,7.697866
7.676607,1.6061563
3.0779982,8.917421
7.6104364,-2.6320803
10.317314,9.835277
6.781374,-3.1093974
11.567781,7.63457
6.995796,-2.2437415
-3.638191,3.7019885
7.7202225,0.299775
7.4760547,-2.1276703
1.2959608,8.463467
-1.816813,3.6698017
8.131927,-0.68256193
2.448201,3.9683259
0.9477596,4.0195446
5.996621,1.9021765
1.1613317,4.4428964
10.244071,9.297283
2.5264812,8.635265
9.69526,9.006581
11.376479,10.908064
-1.2510536,3.6453934
1.8829547,8.119577
-2.7607994,7.5364165
1.4865972,7.785351
9.826552,8.980657
9.328477,9.693314
-3.52877,2.828178
10.235576,10.674962
0.7903365,3.7470484
2.6752565,8.404261
2.2865515,4.147493
11.582401,9.758109
-0.40855047,6.897906
2.1164026,3.9311008
1.6400962,4.2870803
7.2337627,0.91927177
1.238229,7.107526
5.2795076,1.9247
5.6158442,1.0253556
1.1690531,7.6620507
3.1665235,8.817783
-1.9398494,7.3937874
1.5638258,6.683693
11.509313,7.622049
7.8388486,0.99215543
11.938586,6.727678
12.632736,7.835099
7.1531453,-0.08918415
11.19204,11.157412
-1.9964455,7.910485
1.7258059,6.0264177
5.156651,1.7510899
1.6925124,4.029608
6.809623,0.28215778
-2.4111788,1.8564222
1.3869742,3.9879885
-2.4044936,3.5585196
10.860413,10.374058
0.8400822,7.749606
1.1072996,5.9304357
9.602197,10.503235
0.70184475,3.866923
12.207335,10.323253
6.550231,0.28741148
10.424719,10.88369
-2.5165431,7.226499
12.25064,9.902185
9.740176,9.125089
7.793387,0.964366
-2.003815,3.949537
0.62983495,4.3315473
2.2466266,3.767619
-2.4504528,7.6777973
0.6133528,4.3039107
-3.0648863,3.9044602
7.2002687,1.0714898
1.9935993,4.0534267
7.770741,-2.7023857
0.79063135,5.796663
0.2413567,5.4157324
-0.44555992,6.8335934
1.4056174,7.6409626
7.187409,-0.13276981
6.5892954,1.6041541
-1.0291905,6.649822
10.565671,9.170821
11.982988,10.305899
0.7496505,3.7234979
0.46263644,4.887258
-2.5298872,7.498163
12.246036,7.5803757
0.90657926,3.5487323
7.11486,1.7489988
9.674719,9.527089
4.9229374,1.2815957
11.983362,8.655864
5.056725,1.6104321
7.1092205,0.713404
1.2627239,3.2152762
1.5798118,4.796016
10.153452,9.280797
-2.972251,4.0921483
1.3213817,7.1203365
12.062692,6.768137
0.6160208,3.4778106
1.2341783,7.111053
11.788775,9.156036
2.1423945,4.1522985
11.934871,10.791138
11.2628765,6.9324317
3.2972155,3.324896
0.96777683,7.744205
4.9589076,2.096763
-2.2513046,3.8801088
9.751656,10.75801
0.23130347,6.014255
11.476753,10.185627
-2.6904213,3.313081
7.5042467,1.4676208
10.256264,9.143136
9.6429,9.710207
6.9665546,-3.0952249
11.589827,10.150494
11.189254,7.101531
9.475912,9.268549
-1.593303,7.7530417
-1.6199485,7.324005
9.856731,9.132446
10.561127,8.107133
11.656187,9.97149
-1.8447881,2.9697273
5.0521746,1.6700268
4.7216067,2.3061175
-1.405764,3.1718833
-2.4678223,3.6553996
7.559893,1.4010888
0.25293174,6.0396404
-2.4937947,7.6531615
11.054673,9.985062
1.6068441,6.5431747
7.3036776,-0.25876775
2.6668224,8.677173
6.516941,1.5830806
7.536448,0.32069582
9.688586,9.09773
2.365855,4.151156
2.7184598,8.260923
11.783456,10.519818
-2.0149167,6.654905
-3.7438421,3.5923176
-3.2210267,1.8480896
7.7204247,-2.685579
7.1665826,0.8084764
5.551093,1.0683961
11.624358,7.329977
10.451649,9.466412
-2.5654194,3.4236717
4.9738455,1.906631
10.308865,11.099981
12.158959,6.845541
1.3637195,3.194028
-2.554406,7.7608805
11.345495,10.932405
1.7474548,4.9044333
2.5226147,4.474707
6.051572,0.7220523
1.4099298,6.6556225
4.6832438,1.4611442
-2.9897573,2.1211386
7.450633,1.1971666
-2.8946118,3.3122163
-0.59289426,6.8238883
-2.91594,1.9608508
7.7359595,-0.6251261
0.83946615,6.289575
1.3274715,7.889681
0.689139,3.6943758
-3.84457,3.3659253
-3.6028128,3.6085596
-3.1039667,2.0628939
-2.1488633,2.504153
-2.0586417,2.6936464
-0.35844728,6.1847644
-2.5463502,1.8428667
11.727854,7.401989
-2.2903593,6.7787924
-2.9535816,1.6703672
12.078455,9.87003
1.914928,4.7070823
0.5802981,5.536273
11.109888,7.635575
7.648592,0.25484273
10.206759,11.085489
11.244112,11.102108
-2.623885,7.6857505
10.634868,8.1181555
1.4450632,8.490435
7.684634,1.6077546
-3.3201668,1.9432535
2.7473764,8.816113
-1.5135889,7.5133386
7.643723,1.0643529
0.9923433,4.5343037
12.309679,10.194148
-1.148408,3.4778166
-2.2211063,2.480329
7.677929,0.31900126
6.900313,1.2879093
6.938446,-3.050405
2.860716,9.1189785
9.958971,9.083962
12.62247,7.751379
12.318518,7.8142414
2.9,9.092517
-3.5577908,2.889891
11.593851,9.03473
-2.218499,3.814557
7.270579,-3.0740743
1.1051925,6.606489
6.641333,-2.8538864
0.6446212,6.179084
0.5342314,6.0227165
12.694994,7.8564577
12.3329525,9.904925
7.724488,-0.6335098
10.5627165,9.159241
-1.717315,7.0698586
4.401238,2.509655
1.8075079,3.5793102
6.892695,-2.139411
7.231482,1.770478
0.922406,3.8875105
10.162564,8.66041
2.5220857,4.447585
12.550633,7.363256
11.043992,10.453312
7.2018914,-2.6697273
12.105857,9.994794
1.0964824,5.2238736
4.746197,1.5344157
1.9331739,4.484238
1.4274822,4.3710747
9.389557,9.563635
4.7869897,1.4048721
5.965624,1.4686772
9.529046,9.68965
-1.9499675,2.7858741
10.274763,10.246897
6.1909676,0.6001116
1.9404238,4.693458
0.79237354,5.21715
11.645828,10.067137
-1.6250012,7.8580585
2.0214162,3.5228617
1.553843,6.7730446
6.070941,1.3734934
10.102266,8.166415
-0.87299573,6.024109
11.976087,7.1948223
1.943905,4.247422
7.344492,-3.047481
0.37987962,4.945074
-2.0928993,6.956653
4.846532,2.0203493
12.062557,6.79219
11.780575,7.2700777
11.636616,7.3356237
1.303181,8.43608
7.7895103,-0.65725315
1.1227131,8.22428
-2.4125733,1.8992879
1.5245628,4.3616524
6.9393845,-1.9095148
3.0106516,3.4490504
2.3025746,4.2303925
4.8142457,1.2448086
-3.9384897,3.462609
0.5480826,4.0545874
11.925276,10.501367
2.5563633,8.838865
11.716376,10.222558
5.332819,1.5224569
11.072308,10.580131
11.359822,7.698673
-0.74438673,6.000923
9.879244,8.964962
5.0482745,1.7018785
11.173593,10.627382
9.224887,9.769981
9.767153,8.914261
10.634552,9.582012
5.1579075,1.3004245
12.218692,10.100179
1.6824706,6.873162
12.093713,6.866738
7.3025804,-2.3387046
-2.4916468,2.2255206
13.020623,7.5344744
7.3553457,-2.3796158
11.975593,9.243899
10.132557,9.440716
5.2748594,1.662949
2.0784001,4.2084727
4.6382456,1.4095312
11.464363,9.867313
6.4363737,0.35947832
2.210409,3.5405188
6.874155,0.18503177
5.5053873,1.3636488
0.41838646,3.872481
1.2371105,8.532183
-2.0814497,7.6974792
4.930582,1.3123761
7.7587423,0.95568717
10.525373,8.768037
-1.225059,6.754849
10.068849,10.421169
11.464565,9.905145
-1.64367,7.6712666
4.8402815,1.9902294
7.152179,-2.7389529
0.84888804,4.118491
11.662975,8.656764
1.5683478,7.8685155
10.521657,11.09903
-1.6509953,7.934517
-1.4275714,6.2630253
9.737278,9.543961
11.708793,10.865995
-1.3910177,3.0963733
10.03591,9.479664
7.5365973,-2.4978397
-1.3496177,3.4498749
1.3173095,4.743225
7.3349233,-2.867921
0.9437937,3.178413
9.565879,9.355709
2.4820437,3.737168
1.2420523,5.973663
2.8350894,8.964404
2.330506,3.6502273
5.08619,1.2506804
-2.4702065,2.6615984
7.4213023,-2.99348
2.7599728,8.34405
10.006315,9.08206
9.527491,9.290256
2.5810885,8.586224
11.888821,10.70644
7.3950677,1.0924627
10.244566,9.23393
9.309321,9.838966
1.6968174,6.016664
4.8919797,1.9864038
10.002672,10.076896
10.021811,10.897066
10.7964735,9.159189
0.69684565,3.8646517
0.69838536,3.5806723
1.3798277,8.495473
1.6368014,7.0821795
2.531524,8.812975
6.3836513,-2.0371957
10.1554575,10.23389
7.540825,0.34359464
12.382531,9.900109
-0.70902467,6.1656914
10.435469,10.390942
10.224284,9.95763
1.8317517,6.9891944
0.31864727,5.8979
1.6646743,5.0134463
10.435915,9.716913
6.4208345,-2.153743
-2.955333,3.3597353
-3.6056085,4.2416277
-3.0025787,4.079167
7.136892,-0.15395096
9.8700695,8.957927
7.671246,-2.7104244
4.5370455,2.4431782
11.817,10.219233
-3.8937793,3.4242775
7.265308,0.98596984
-2.5719235,7.574247
-2.0471423,7.56615
2.7961543,9.131949
-2.952902,2.0983455
5.642241,1.64294
0.6199668,5.8513803
6.5396614,1.6122261
10.043025,10.037067
10.210469,9.001807
12.643044,7.8126116
-3.8914826,3.293817
6.547683,1.2598218
12.461568,7.8991475
0.5434573,5.1675158
5.109081,1.0187584
10.243438,10.49334
-2.3990583,7.257997
1.4151932,5.6469727
6.800284,-2.9747467
-2.9603696,3.964576
11.060135,10.989882
9.625727,9.487941
-1.433191,3.2112896
1.6130011,7.071974
1.0140973,5.704689
-1.7691756,3.7591112
4.5705376,2.4399593
11.252345,6.9265804
7.7766953,0.9101623
11.0847025,10.144203
1.7970049,4.559165
10.1353855,10.744926
1.2061875,5.602603
-3.4500027,3.645217
11.967702,8.962031
0.60123444,4.946647
2.6550522,8.783384
11.358166,10.192821
-2.1520567,7.4155393
12.182267,8.112005
11.603407,7.336774
1.3423761,3.2076125
4.7133665,1.8021004
0.6674854,3.45015
7.0686316,-3.0415652
4.6225986,1.8215511
-2.667142,7.5846033
